locality,biden,trump,total_votes_2021_prez
Accomack County,"7,578","9,172","16,962"
Albemarle County,"42,466","20,804","64,657"
Alexandria City,"66,240","14,544","82,508"
Alleghany County,"2,243","5,859","8,203"
Amelia County,"2,411","5,390","7,893"
Amherst County,"5,672","11,041","17,005"
Appomattox County,"2,418","6,702","9,268"
Arlington County,"105,344","22,318","130,699"
Augusta County,"10,840","30,714","42,278"
Bath County,646,"1,834","2,501"
Bedford County,"12,176","35,600","48,669"
Bland County,532,"2,903","3,479"
Botetourt County,"5,700","15,099","21,120"
Bristol City,"2,313","5,347","7,806"
Brunswick County,"4,552","3,357","7,948"
Buchanan County,"1,587","8,311","9,953"
Buckingham County,"3,471","4,544","8,126"
Buena Vista City,825,"1,863","2,776"
Campbell County,"8,070","21,245","29,892"
Caroline County,"7,657","8,336","16,288"
Carroll County,"2,842","12,659","15,651"
Charles City County,"2,624","1,761","4,441"
Charlotte County,"2,317","3,815","6,191"
Charlottesville City,"20,696","3,094","24,205"
Chesapeake City,"66,377","58,180","127,108"
Chesterfield County,"106,935","93,326","203,884"
Clarke County,"3,920","5,192","9,337"
Colonial Heights City,"2,972","6,007","9,146"
Covington City,964,"1,580","2,603"
Craig County,587,"2,536","3,169"
Culpeper County,"10,617","16,012","27,116"
Cumberland County,"2,227","3,019","5,310"
Danville City,"11,710","7,428","19,389"
Dickenson County,"1,503","5,748","7,303"
Dinwiddie County,"6,224","8,695","15,092"
Emporia City,"1,612",754,"2,381"
Essex County,"3,038","3,075","6,178"
Fairfax County,"419,943","168,401","600,823"
Fairfax City,"9,174","4,007","13,483"
Falls Church City,"7,146","1,490","8,819"
Fauquier County,"17,565","25,106","43,661"
Floyd County,"3,004","6,225","9,408"
Fluvanna County,"7,414","8,155","15,840"
Franklin County,"8,381","20,895","29,702"
Franklin City,"2,525","1,487","4,058"
Frederick County,"17,207","30,558","48,703"
Fredericksburg City,"8,517","4,037","12,862"
Galax City,777,"1,838","2,638"
Giles County,"2,156","6,876","9,176"
Gloucester County,"6,964","14,875","22,282"
Goochland County,"6,685","9,966","16,950"
Grayson County,"1,535","6,529","8,131"
Greene County,"4,163","6,866","11,311"
Greensville County,"2,627","1,914","4,574"
Halifax County,"7,666","10,418","18,248"
Hampton City,"46,220","18,430","65,901"
Hanover County,"25,307","44,318","70,967"
Harrisonburg City,"11,022","5,591","17,086"
Henrico County,"116,572","63,440","183,152"
Henry County,"9,127","16,725","26,105"
Highland County,417,"1,092","1,533"
Hopewell City,"5,430","4,020","9,608"
Isle of Wight County,"9,399","13,707","23,456"
James City County,"25,553","23,153","49,622"
King and Queen County,"1,590","2,450","4,115"
King George County,"5,404","8,446","14,224"
King William County,"3,260","7,320","10,736"
Lancaster County,"3,368","3,697","7,152"
Lee County,"1,489","8,365","9,946"
Lexington City,"1,791",906,"2,762"
Loudoun County,"138,372","82,088","224,862"
Louisa County,"8,269","13,294","21,915"
Lunenburg County,"2,418","3,537","6,000"
Lynchburg City,"18,048","17,097","36,363"
Madison County,"2,698","5,300","8,129"
Manassas City,"10,356","6,256","16,968"
Manassas Park City,"3,992","1,979","6,087"
Martinsville City,"3,766","2,165","6,013"
Mathews County,"1,825","3,901","5,826"
Mecklenburg County,"6,803","9,266","16,204"
Middlesex County,"2,491","4,196","6,785"
Montgomery County,"23,218","20,629","45,037"
Nelson County,"4,327","4,812","9,316"
New Kent County,"4,621","9,631","14,463"
Newport News City,"53,099","26,377","81,203"
Norfolk City,"64,440","23,443","89,881"
Northampton County,"3,667","2,955","6,732"
Northumberland County,"3,252","4,485","7,815"
Norton City,464,"1,109","1,601"
Nottoway County,"2,971","4,027","7,078"
Orange County,"7,995","12,426","20,742"
Page County,"3,007","9,345","12,514"
Patrick County,"1,954","7,485","9,534"
Petersburg City,"12,389","1,584","14,118"
Pittsylvania County,"10,115","23,751","34,227"
Poquoson City,"2,054","5,605","7,857"
Portsmouth City,"30,948","12,755","44,582"
Powhatan County,"5,320","14,055","19,730"
Prince Edward County,"4,973","4,434","9,574"
Prince George County,"7,103","10,103","17,432"
Prince William County,"142,863","81,222","228,056"
Pulaski County,"4,925","12,127","17,376"
Radford City,"3,358","2,786","6,320"
Rappahannock County,"2,096","2,812","4,978"
Richmond County,"1,513","2,547","4,102"
Richmond City,"92,175","16,603","111,159"
Roanoke County,"21,801","34,268","57,184"
Roanoke City,"26,773","15,607","43,323"
Rockbridge County,"4,086","8,088","12,373"
Rockingham County,"12,644","30,349","43,811"
Russell County,"2,373","10,879","13,386"
Salem City,"5,148","7,683","13,051"
Scott County,"1,692","9,063","10,869"
Shenandoah County,"6,836","16,463","23,684"
Smyth County,"3,008","10,963","14,136"
Southampton County,"3,969","5,730","9,786"
Spotsylvania County,"34,307","39,411","75,317"
Stafford County,"40,245","37,636","79,625"
Staunton City,"6,981","5,695","12,990"
Suffolk City,"28,676","20,082","49,642"
Surry County,"2,397","2,025","4,471"
Sussex County,"2,827","2,219","5,088"
Tazewell County,"3,205","16,731","20,134"
Virginia Beach City,"117,393","105,087","227,561"
Warren County,"6,603","14,069","21,147"
Washington County,"6,617","21,679","28,685"
Waynesboro City,"4,961","5,507","10,717"
Westmoreland County,"4,501","5,318","9,933"
Williamsburg City,"4,790","1,963","6,883"
Winchester City,"6,610","5,221","12,106"
Wise County,"3,110","13,366","16,615"
Wythe County,"3,143","11,733","15,072"
York County,"17,683","20,241","38,787"
TOTALS,"2,413,568","1,962,430","4,460,524"
