County/City,,,"Joseph Robinette Biden, Jr","Donald J. Trump","Jo Jorgensen","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Accomack County",,,"7,578","9,172",188,24,"16,962"
"Albemarle County",,,"42,466","20,804","1,014",373,"64,657"
"Alexandria City",,,"66,240","14,544","1,022",702,"82,508"
"Alleghany County",,,"2,243","5,859",89,12,"8,203"
"Amelia County",,,"2,411","5,390",80,12,"7,893"
"Amherst County",,,"5,672","11,041",251,41,"17,005"
"Appomattox County",,,"2,418","6,702",119,29,"9,268"
"Arlington County",,,"105,344","22,318","1,836","1,201","130,699"
"Augusta County",,,"10,840","30,714",608,116,"42,278"
"Bath County",,,646,"1,834",16,5,"2,501"
"Bedford County",,,"12,176","35,600",708,185,"48,669"
"Bland County",,,532,"2,903",40,4,"3,479"
"Botetourt County",,,"5,700","15,099",264,57,"21,120"
"Bristol City",,,"2,313","5,347",125,21,"7,806"
"Brunswick County",,,"4,552","3,357",34,5,"7,948"
"Buchanan County",,,"1,587","8,311",44,11,"9,953"
"Buckingham County",,,"3,471","4,544",93,18,"8,126"
"Buena Vista City",,,825,"1,863",72,16,"2,776"
"Campbell County",,,"8,070","21,245",490,87,"29,892"
"Caroline County",,,"7,657","8,336",259,36,"16,288"
"Carroll County",,,"2,842","12,659",118,32,"15,651"
"Charles City County",,,"2,624","1,761",54,2,"4,441"
"Charlotte County",,,"2,317","3,815",48,11,"6,191"
"Charlottesville City",,,"20,696","3,094",311,104,"24,205"
"Chesapeake City",,,"66,377","58,180","2,098",453,"127,108"
"Chesterfield County",,,"106,935","93,326","2,927",696,"203,884"
"Clarke County",,,"3,920","5,192",178,47,"9,337"
"Colonial Heights City",,,"2,972","6,007",135,32,"9,146"
"Covington City",,,964,"1,580",50,9,"2,603"
"Craig County",,,587,"2,536",40,6,"3,169"
"Culpeper County",,,"10,617","16,012",406,81,"27,116"
"Cumberland County",,,"2,227","3,019",53,11,"5,310"
"Danville City",,,"11,710","7,428",195,56,"19,389"
"Dickenson County",,,"1,503","5,748",44,8,"7,303"
